TINE/DOOCS address, file value
PETRA/Cms.MagnetPs/Q0A/Strom.Soll, 280.06915
PETRA/Cms.MagnetPs/Q2A/Strom.Soll, 482.3408
PETRA/Cms.MagnetPs/QK3/Strom.Soll, 392.99545
PETRA/Cms.MagnetPs/Q4A/Strom.Soll, 410.44772
PETRA/Cms.MagnetPs/Q2K/Strom.Soll, 217.94958
PETRA/Cms.MagnetPs/Q4K/Strom.Soll, 214.9303
PETRA/Cms.MagnetPs/Q9N_W/Strom.Soll, 457.6341
PETRA/Cms.MagnetPs/Q6N_W/Strom.Soll, 522.6939
PETRA/Cms.MagnetPs/Q5N_W/Strom.Soll, 461.40952
PETRA/Cms.MagnetPs/Q4N_W/Strom.Soll, 425.8904
PETRA/Cms.MagnetPs/Q3N_W/Strom.Soll, 506.16858
PETRA/Cms.MagnetPs/Q2N_W/Strom.Soll, 491.63342
PETRA/Cms.MagnetPs/Q1N_W/Strom.Soll, 412.637
PETRA/Cms.MagnetPs/Q9N_N/Strom.Soll, 305.85654
PETRA/Cms.MagnetPs/Q6N_N/Strom.Soll, 524.5993
PETRA/Cms.MagnetPs/Q5N_N/Strom.Soll, 471.23886
PETRA/Cms.MagnetPs/Q4N_N/Strom.Soll, 411.63907
PETRA/Cms.MagnetPs/Q3N_N/Strom.Soll, 506.12167
PETRA/Cms.MagnetPs/Q2N_N/Strom.Soll, 519.55133
PETRA/Cms.MagnetPs/Q1N_N/Strom.Soll, 397.53305
PETRA/Cms.MagnetPs/Q7N_N/Strom.Soll, 267.8655
PETRA/Cms.MagnetPs/Q0N_O/Strom.Soll, 261.49686
PETRA/Cms.MagnetPs/Q1N_O/Strom.Soll, 177.23956
PETRA/Cms.MagnetPs/Q2N_OL/Strom.Soll, 268.47778
PETRA/Cms.MagnetPs/Q3N_OL/Strom.Soll, 322.80527
PETRA/Cms.MagnetPs/Q4N_OL/Strom.Soll, 288.67435
PETRA/Cms.MagnetPs/Q5N_S/Strom.Soll, 417.70328
PETRA/Cms.MagnetPs/Q4N_S/Strom.Soll, 422.61395
PETRA/Cms.MagnetPs/Q3N_S/Strom.Soll, 446.66605
PETRA/Cms.MagnetPs/Q2N_S/Strom.Soll, 461.42096
PETRA/Cms.MagnetPs/Q1N_S/Strom.Soll, 271.14655
PETRA/Cms.MagnetPs/Q0N_S/Strom.Soll, 463.3035
PETRA/Cms.MagnetPs/QQN_L/Strom.Soll, 58.27755
PETRA/Cms.MagnetPs/Q9N_L/Strom.Soll, 75.70655
PETRA/Cms.MagnetPs/Q8N_L/Strom.Soll, 41.514515
PETRA/Cms.MagnetPs/Q7N_L/Strom.Soll, 205.78806
PETRA/Cms.MagnetPs/Q6N_L/Strom.Soll, 188.59532
PETRA/Cms.MagnetPs/Q5N_L/Strom.Soll, 171.88623
PETRA/Cms.MagnetPs/Q4K_L/Strom.Soll, 163.18562
PETRA/Cms.MagnetPs/Q3K_L/Strom.Soll, 230.49544
PETRA/Cms.MagnetPs/Q2K_L/Strom.Soll, 226.88333
PETRA/Cms.MagnetPs/Q1K_L/Strom.Soll, 277.1668
PETRA/Cms.MagnetPs/Q0K_L/Strom.Soll, 183.52765
PETRA/Cms.MagnetPs/Q1K_R/Strom.Soll, 278.87714
PETRA/Cms.MagnetPs/Q2K_R/Strom.Soll, 407.2983
PETRA/Cms.MagnetPs/Q3K_R/Strom.Soll, 422.66202
PETRA/Cms.MagnetPs/Q4K_R/Strom.Soll, 192.83548
PETRA/Cms.MagnetPs/QA4_NOR_39/Strom.Soll, 114.81247
PETRA/Cms.MagnetPs/QA5_NOR_41/Strom.Soll, 151.49161
PETRA/Cms.MagnetPs/QA4_OL_61/Strom.Soll, 111.80892
PETRA/Cms.MagnetPs/QA5_OL_62/Strom.Soll, 151.38213
PETRA/Cms.MagnetPs/QA1_NOR_49/Strom.Soll, 43.104942
PETRA/Cms.MagnetPs/QA2_NOR_48/Strom.Soll, 48.775043
PETRA/Cms.MagnetPs/QA3_NOR_46/Strom.Soll, 94.0285
PETRA/Cms.MagnetPs/QA4_NOR_43/Strom.Soll, 102.476776
PETRA/Cms.MagnetPs/QA5_NOR_42/Strom.Soll, 139.17195
PETRA/Cms.MagnetPs/QA1_NOR_56/Strom.Soll, 42.46354
PETRA/Cms.MagnetPs/QA2_NOR_57/Strom.Soll, 47.840443
PETRA/Cms.MagnetPs/QA3_NOR_59/Strom.Soll, 93.99913
PETRA/Cms.MagnetPs/QA4_NOR_62/Strom.Soll, 102.183044
PETRA/Cms.MagnetPs/QA5_NOR_64/Strom.Soll, 138.1455
PETRA/Cms.MagnetPs/QA1_NOR_72/Strom.Soll, 13.714626
PETRA/Cms.MagnetPs/QA2_NOR_71/Strom.Soll, 73.98635
PETRA/Cms.MagnetPs/QA3_NOR_70/Strom.Soll, 100.400894
PETRA/Cms.MagnetPs/QA4_NOR_66/Strom.Soll, 112.980644
PETRA/Cms.MagnetPs/QA5_NOR_65/Strom.Soll, 150.89987
PETRA/Cms.MagnetPs/QA1_NOR_79/Strom.Soll, 13.479641
PETRA/Cms.MagnetPs/QA2_NOR_80/Strom.Soll, 73.603966
PETRA/Cms.MagnetPs/QA3_NOR_82/Strom.Soll, 99.991806
PETRA/Cms.MagnetPs/QA4_NOR_85/Strom.Soll, 112.461006
PETRA/Cms.MagnetPs/QA5_NOR_87/Strom.Soll, 150.92444
PETRA/Cms.MagnetPs/QB1_NOR_95/Strom.Soll, 31.550583
PETRA/Cms.MagnetPs/QB2_NOR_94/Strom.Soll, 152.04865
PETRA/Cms.MagnetPs/QB3_NOR_93/Strom.Soll, 138.30998
PETRA/Cms.MagnetPs/QB4_NOR_89/Strom.Soll, 104.18577
PETRA/Cms.MagnetPs/QB5_NOR_88/Strom.Soll, 145.09787
PETRA/Cms.MagnetPs/QB1_NOR_102/Strom.Soll, 31.563934
